Osmocom TAC database under CC-BY-SA v3.0 (c) Harald Welte 2016,
tac,model,model2
52026100,SGH-M188
52031700,SGH-Q100
52031799,SGH-Q100
33002400,SGH-200
34498102,SGH-M140
34935400,SGH-D410
35004300,SGH-2210
35004400,SGH-2410
35245805,GT-E1200M
35288702,SGH-M610
35157501,SGH-D407
35157502,SGH-L770
35157702,SGH-T639
35157802,SGH-F490
35157902,SGH-L310
35166503,SGH-U600G
35166603,SGH-D900i
35168803,SGH-S5200
35169701,SGH-T809
35171102,SGH-F210
35174901,SGH-X670
35175101,SGH-X166
35176703,SGH-E2510
35182602,SGH-M120
35187202,SGH-F480
35189102,SGH-G600
35190702,SGH-D900i
35191403,SGH-T919 Behold
35191503,SGH-T919 Behold
35197801,SGH-Z370
35200101,SGH-D807
35200301,SGH-E900
35202803,SGH-S8000
35206001,SGH-C240
35206901,SGH-Z230
35213502,SGH-M620
35214002,SGH-L770
35218803,SGH-J770
35219301,SGH-C130
35219501,SGH-X210
35221203,S5230 Star
35222802,SGH-T229
35224002,SGH-C300
35235301,SGH-E376
35238502,SGH-P960
35243602,SGH-D407
35244202,U900 Soul
35244701,SGH-E890
35244903,SGH-F480
35245003,SGH-J700
35248501,SGH-X520
35254602,SGH-i200
35255001,SGH-X210
35255101,SGH-F300
35256202,SGH-E250
35256301,SGH-T509
35256302,SGH-G400 Soul
35258103,SGH-E1100 Guru
35264103,SGH GT-S5600
35265102,SGH-M310
35265202,SGH-B300
35265302,SGH-M200
35266001,SGH-E790
35268501,SGH-X507
35269302,SGH-J700
35269501,SGH-Z360
35269502,SGH-J150
35271101,SGH-C417
35274703,SGH-J700
35279401,i607 BlackJack
35281902,SGH-I900 Omnia
35282603,M7600 Beat DJ
35282902,i907 Epix
35285202,SGH-F250
35288902,SGH-F400
35290101,SGH-T619
35290301,SGH-T639
35290401,SGH-T619
35295902,SGH-M610
35299901,SoftBank 707SC
35300502,SGH-U600
35303701,SGH-X540
35305603,SGH-F480
35305702,SGH-A561
35306103,T459 Gravity
35307302,SGH-U700
35307502,SGH-i450
35310301,SGH-A707
35310401,SGH-Z560
35311201,SGH-D406
35313801,SGH-I600
35318002,SGH-T339
35320502,U900 Soul
35321001,SGH-E890
35321101,SCH-W531
35324402,SGH-E251
35329402,SGH-J700
35329802,SGH-F490
35330601,SGH-i718
35331202,SGH-J600
35331801,SGH-E490
35332902,SGH-L760
35335001,SGH-I600
35337303,SGH-C3010
35338502,SGH-J700
35338901,SCH-I830
35342102,L810v Steel
35343902,SGH-E250
35344102,SGH-E250
35345201,SGH-E250
35346301,SGH-E250
35349401,SGH-E590
35349601,SGH-E830
35350901,SGH-X550
35356602,SGH-L760
35358203,SGH-C3050
35360402,SGH-B100
35366602,SGH-L760
35366702,SGH-B100
35367002,SGH-F480
35367102,SGH-C260
35367502,SGH-J600
35370101,SGH-E480
35371201,SGH-C140
35374002,SGH-J700
35374202,SGH-E215
35382601,SGH-Z240
35383401,SGH-T339
35384601,SGH-E360
35386502,SGH-U900
35386702,SGH-C140
35388202,SGH-G600
35388302,SGH-U700
35389801,SGH-A727
35390302,SGH-F250
35399901,SGH-C170
35400401,SGH-E256
35409302,SGH-F480
35409402,SGH-A737
35415500,SGH-X120
35417701,SGH-F310 B+O Serenata
35420702,SGH-J700
35420801,SGH-C160
35422301,SGH-T329
35422401,SGH-E200
35423703,SGH-E1310b
35425802,SGH-J700
35426501,SGH-E370
35431601,SGH-E210
35431701,SGH-C260
35432102,SGH-T919 Behold
35432201,SGH-E370
35434902,SGH-P270
35435002,SGH-F250
35440102,SGH-D980
35444601,SGH-X680
35446202,SGH-D780
35446502,SGH-I780
35446503,SGH-T559
35448100,SGH-D300
35448300,SGH-C100
35452202,SGH-S7330
35452302,SGH-D880
35452402,SGH-D880
35454902,i8510 INNOV8
35455803,SGH-E250I
35457601,SGH-E740
35461001,SGH-X510
35462602,SGH-B320
35462702,M3510 Beat b
35463401,SGH-X830
35464002,SGH-M150
35466401,SGH-C260
35471002,SGH-C520
35471400,SGH-C200
35471500,SGH-C200
35471902,i907 Epix
35473102,SGH-I617 BlackJack2
35473202,SGH-E250
35473501,SGH-J750
35475802,SGH-M310
35475902,SGH-M310
35476002,SGH-E250
35485701,SGH-C266
35486200,SGH-E630
35488901,SGH-Z170
35489001,SGH-D900i
35491901,SGH-ZV60
35493201,SGH-E250
35494501,SGH-X520
35497601,SGH-E250
35497801,SGH-E250
35498502,SGH-C260
35498600,SGH-C100
35499302,U810 Renown
35499601,SGH-T629
35509201,SGH-C300
35509301,SGH-E840
35511201,SGH-X836
35513802,SGH-B130
35515601,SGH-U800 Soul b
35515802,SGH-B200
35517400,SGH-X460
35517803,S5230 Star
35517903,SGH-S5233 Star
35519501,SGH-T329
35524302,U900 Soul
35524501,SGH-T639
35524801,SGH-Z240
35524902,SGH-B300
35525101,SGH-X836
35525800,SGH-E338
35526101,SGH-U700
35526201,SGH-U700
35533900,SGH-E710
35536801,SGH-C260
35538101,SGH-M600
35539302,SGH-D900i
35539402,S5600 Preston
35539801,SGH-C140
35539802,SGH-B130
35539901,SGH-C140
35543100,SGH-P730C
35544900,SGH-Z130
35545801,SGH-A707
35546001,i607 BlackJack
35546401,SGH-J400
35546402,SGH-J400
35546601,SGH-U100 Ultra Edition II
35546800,SGH-C200
35546802,SGH-E215
35549201,SGH-i400
35549401,SGH-D807
35549402,SGH-I900 Omnia
35552402,SGH-U100 Ultra Edition II
35552702,SGH-T429
35556702,SGH-C260
35556902,SGH-L700
35558201,SGH-J600
35559501,SGH-S720i
35561002,A767 Propel
35561601,SGH-F230
35565401,SGH-D900i
35565501,SGH-A727
35568302,SGH-G600
35573301,SGH-C426
35575301,SGH-i718
